bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,condition,zipcode,lat,long,sqft_living15,sqft_lot15,price
6,1.3,3637,5506,1.5,6,2,98006,47.214572,-122.105599,3620,5804,926413.0
1,1.3,1552,9279,3.0,3,5,98002,47.601092,-122.129205,1456,8996,452025.0
1,3.3,1253,7924,2.0,7,2,98002,47.753044,-122.348043,992,6006,480120.0
3,2.8,3905,1711,2.5,11,1,98004,47.199644,-122.374093,4033,2106,1021290.0
5,1.6,884,1750,1.5,7,1,98002,47.695885,-122.321924,843,2100,426454.0
3,2.1,3345,5374,1.0,12,2,98005,47.60935,-122.451959,3079,6952,924999.0
6,2.7,3404,6313,1.0,6,1,98003,47.402734,-122.510287,3951,6567,955302.0
3,1.6,2644,7482,2.5,5,3,98002,47.305375,-122.213179,2295,7861,738792.0
5,2.2,1498,3266,3.0,10,1,98001,47.692495,-122.458295,1231,3619,619307.0
1,2.2,3040,8668,3.0,7,5,98001,47.578579,-122.481269,3490,9972,831978.0
6,2.0,1802,8123,1.5,10,1,98006,47.701787,-122.391967,1757,6556,702310.0
1,3.6,1822,11468,3.0,12,2,98002,47.385566,-122.453071,2148,14374,625459.0
5,2.0,679,2832,2.0,7,2,98001,47.301749,-122.209586,533,3226,447986.0
1,3.9,2781,3060,1.5,13,4,98005,47.25403,-122.233396,2844,3912,840752.0
6,3.1,3520,6107,2.5,13,3,98004,47.716757,-122.279108,3032,4509,1019382.0
5,2.7,3010,4608,1.0,4,1,98002,47.192462,-122.531152,2705,4647,787703.0
6,2.5,2808,3167,3.0,12,4,98002,47.64431,-122.065502,2346,2401,909407.0
3,2.3,2512,1887,1.0,3,4,98006,47.363761,-122.032996,2165,1536,666183.0
2,2.3,1740,8579,1.5,4,4,98005,47.211682,-122.158713,1728,6081,502366.0
2,1.5,2589,8886,1.5,9,1,98002,47.388753,-121.958815,2250,10400,703692.0
3,2.3,3592,10105,2.5,5,2,98003,47.287152,-122.51491,3883,7443,886113.0
1,1.2,2552,9238,3.0,5,1,98005,47.20047,-122.438505,2597,10209,629991.0
4,1.4,4246,10333,1.5,12,5,98001,47.54021,-122.298465,4299,10474,1102426.0
2,3.0,1886,4910,2.0,9,2,98006,47.556665,-122.275665,2202,6193,601456.0
4,2.9,2906,2638,1.0,11,2,98005,47.317076,-121.990044,3331,3238,867172.0
3,1.5,4015,9900,2.0,12,5,98001,47.570754,-122.217239,4694,7545,1096163.0
2,1.8,4244,2753,3.0,5,3,98003,47.531043,-122.119433,3571,2974,962887.0
5,2.5,4308,1832,1.0,13,4,98003,47.177775,-122.349866,3484,2359,1127433.0
6,2.3,3490,8007,3.0,3,1,98001,47.745382,-122.135388,2851,5777,888211.0
5,2.7,2360,3088,1.0,7,3,98001,47.716323,-122.423954,2035,2352,751378.0
5,3.7,2264,11168,1.5,6,2,98002,47.705292,-122.535128,2448,10043,724552.0
6,3.6,3920,5065,2.0,5,1,98004,47.699465,-122.034844,3332,6027,1016790.0
3,1.9,3857,4728,1.5,3,2,98004,47.356805,-122.031388,4570,4101,930271.0
5,2.2,4055,9785,2.0,3,1,98003,47.262498,-121.972479,3525,7485,964379.0
3,3.2,1884,8149,3.0,11,1,98004,47.716688,-122.435953,1450,7836,663717.0
5,3.1,4451,11987,1.5,8,4,98001,47.747791,-121.997537,4586,13162,1130422.0
6,3.7,2677,6067,2.5,8,4,98006,47.336263,-122.473627,2514,7670,882679.0
6,3.7,3121,10324,2.0,9,5,98001,47.341441,-122.42389,3444,10984,963343.0
4,2.3,3367,4501,3.0,10,2,98006,47.203421,-122.240729,3484,4055,965729.0
2,3.0,1520,4262,1.5,3,1,98002,47.76988,-122.183236,1665,4147,501868.0
6,2.7,3542,7291,2.5,9,2,98002,47.563317,-122.546673,3853,8472,992382.0
4,1.7,3893,9486,2.5,3,5,98002,47.728006,-122.477185,3153,9284,942344.0
5,2.8,4491,8251,3.0,11,4,98005,47.430926,-122.454505,5109,8003,1232952.0
2,3.5,1735,9540,2.5,13,2,98003,47.42712,-122.121873,1484,8600,674120.0
5,1.2,1217,4788,2.5,5,2,98001,47.411367,-122.351471,1167,3530,511928.0
4,2.2,3753,10569,1.0,12,4,98004,47.153715,-122.338945,4087,12810,1065142.0
4,2.6,3609,9947,3.0,6,4,98002,47.321949,-122.258615,3338,10954,971666.0
4,3.2,4042,8657,1.5,12,5,98001,47.721365,-122.194864,4237,6495,1106250.0
2,3.6,1344,1823,2.0,9,3,98002,47.436461,-122.3475,1540,1580,568354.0
4,1.8,935,8705,1.0,11,1,98003,47.29126,-122.508829,1104,6303,451804.0
2,1.6,683,11179,1.5,6,2,98004,47.571759,-122.211618,579,12516,359573.0
3,1.5,3087,2876,1.5,7,1,98005,47.166177,-122.362826,3256,3666,799210.0
6,1.6,3025,11276,1.5,4,3,98006,47.528259,-122.477367,3608,13188,843253.0
